Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
03/27/2020,Schoharie,2,5,9,72
03/27/2020,Schuyler,1,1,6,47
03/27/2020,Seneca,0,0,16,64
03/27/2020,St. Lawrence,5,8,82,203
03/27/2020,Steuben,1,13,27,159
03/27/2020,Suffolk,753,4138,1690,12075
03/27/2020,Sullivan,8,72,49,529
03/27/2020,Tioga,2,4,18,68
03/27/2020,Tompkins,19,45,182,848
03/27/2020,Ulster,29,128,124,935
03/27/2020,Warren,5,13,59,415
03/27/2020,Washington,0,6,40,229
03/27/2020,Wayne,1,12,32,219
03/27/2020,Westchester,688,7875,1588,31103
03/27/2020,Wyoming,0,7,15,82
03/27/2020,Yates,0,0,10,35
03/26/2020,Albany,16,187,112,3289
03/26/2020,Allegany,0,2,9,98
03/26/2020,Bronx,829,4557,1428,10831
03/26/2020,Broome,2,18,25,167
03/26/2020,Cattaraugus,0,0,13,101
03/26/2020,Cayuga,0,2,25,132
03/26/2020,Chautauqua,0,1,20,56
03/26/2020,Chemung,4,11,48,166
03/26/2020,Chenango,1,4,6,31
03/26/2020,Clinton,0,11,6,122
03/26/2020,Columbia,7,20,20,297
03/26/2020,Cortland,2,4,34,208
03/26/2020,Delaware,1,8,7,74
03/26/2020,Dutchess,35,225,155,1444
03/26/2020,Erie,85,219,348,1336
03/26/2020,Essex,0,4,6,63
03/26/2020,Franklin,1,2,11,63
03/26/2020,Fulton,0,1,5,87
03/26/2020,Genesee,2,6,21,93
03/26/2020,Greene,1,6,11,181
03/26/2020,Hamilton,0,2,0,14
03/26/2020,Herkimer,2,9,9,48
03/26/2020,Jefferson,0,3,23,135
03/26/2020,Kings,1106,6807,1905,15024
03/26/2020,Lewis,0,0,5,30
03/26/2020,Livingston,0,3,8,75
03/26/2020,Madison,8,17,23,123
03/26/2020,Monroe,21,160,232,2196
03/26/2020,Montgomery,0,5,7,117
03/26/2020,Nassau,743,4657,1412,12530
03/26/2020,New York,523,4585,1062,12898
03/26/2020,Niagara,9,23,55,169
03/26/2020,Oneida,0,13,41,295
03/26/2020,Onondaga,32,115,444,2078
03/26/2020,Ontario,3,14,29,178
03/26/2020,Orange,160,911,394,3076
03/26/2020,Orleans,1,3,11,74
03/26/2020,Oswego,0,4,18,160
03/26/2020,Otsego,2,5,12,94
03/26/2020,Putnam,17,111,47,561
03/26/2020,Queens,1324,8037,2115,15784
03/26/2020,Rensselaer,3,35,26,1049
03/26/2020,Richmond,223,1412,413,3417
03/26/2020,Rockland,260,1457,588,4029
03/26/2020,Saratoga,9,82,69,1471
03/26/2020,Schenectady,4,66,41,1025
03/26/2020,Schoharie,1,3,3,63
03/26/2020,Schuyler,0,0,8,41
03/26/2020,Seneca,0,0,11,48
03/26/2020,St. Lawrence,1,3,29,121
03/26/2020,Steuben,1,12,25,132
03/26/2020,Suffolk,650,3385,1333,10385
03/26/2020,Sullivan,11,64,62,480
03/26/2020,Tioga,0,2,10,50
03/26/2020,Tompkins,4,26,109,666
03/26/2020,Ulster,21,99,83,811
03/26/2020,Warren,6,8,54,356
03/26/2020,Washington,2,6,19,189
03/26/2020,Wayne,3,11,27,187
03/26/2020,Westchester,1243,7187,3227,29515
03/26/2020,Wyoming,0,7,14,67
03/26/2020,Yates,0,0,2,25
03/25/2020,Albany,19,171,93,3177
03/25/2020,Allegany,0,2,6,89
03/25/2020,Bronx,838,3728,1770,9403
03/25/2020,Broome,5,16,37,142
03/25/2020,Cattaraugus,0,0,12,88
03/25/2020,Cayuga,0,2,13,107
03/25/2020,Chautauqua,0,1,4,36
03/25/2020,Chemung,6,7,57,118
03/25/2020,Chenango,0,3,1,25
03/25/2020,Clinton,1,11,16,116
03/25/2020,Columbia,1,13,22,277
03/25/2020,Cortland,0,2,41,174
03/25/2020,Delaware,2,7,12,67
03/25/2020,Dutchess,37,190,209,1289
03/25/2020,Erie,12,134,116,988
03/25/2020,Essex,0,4,7,57
03/25/2020,Franklin,0,1,5,52
03/25/2020,Fulton,0,1,2,82
03/25/2020,Genesee,2,4,19,72
03/25/2020,Greene,1,5,11,170
03/25/2020,Hamilton,0,2,0,14
03/25/2020,Herkimer,2,7,6,39
03/25/2020,Jefferson,1,3,31,112
03/25/2020,Kings,755,5701,1550,13119
03/25/2020,Lewis,0,0,5,25
03/25/2020,Livingston,0,3,15,67
03/25/2020,Madison,2,9,28,100
03/25/2020,Monroe,21,139,255,1964
03/25/2020,Montgomery,1,5,5,110
03/25/2020,Nassau,629,3914,1735,11118
03/25/2020,New York,542,4062,1232,11836
03/25/2020,Niagara,2,14,10,114
03/25/2020,Oneida,4,13,22,254
03/25/2020,Onondaga,18,83,266,1634
03/25/2020,Ontario,2,11,21,149
03/25/2020,Orange,113,751,322,2682
03/25/2020,Orleans,0,2,11,63
03/25/2020,Oswego,2,4,25,142
03/25/2020,Otsego,1,3,6,82
03/25/2020,Putnam,11,94,75,514
03/25/2020,Queens,1238,6713,2110,13669
03/25/2020,Rensselaer,1,32,22,1023
03/25/2020,Richmond,164,1189,293,3004
03/25/2020,Rockland,229,1197,567,3441
03/25/2020,Saratoga,9,73,55,1402
03/25/2020,Schenectady,7,62,32,984
03/25/2020,Schoharie,0,2,2,60
03/25/2020,Schuyler,0,0,1,33
03/25/2020,Seneca,0,0,6,37
03/25/2020,St. Lawrence,1,2,14,92
03/25/2020,Steuben,3,11,30,107
03/25/2020,Suffolk,475,2735,1189,9052
03/25/2020,Sullivan,14,53,53,418
03/25/2020,Tioga,1,2,12,40
03/25/2020,Tompkins,6,22,89,557
03/25/2020,Ulster,13,78,71,728
03/25/2020,Warren,0,2,16,302
03/25/2020,Washington,0,4,18,170
03/25/2020,Wayne,1,8,37,160
03/25/2020,Westchester,1253,5944,5951,26288
03/25/2020,Wyoming,3,7,9,53
03/25/2020,Yates,0,0,1,23
03/24/2020,Albany,6,152,198,3084
03/24/2020,Allegany,0,2,5,83
03/24/2020,Bronx,611,2890,1188,7633
03/24/2020,Broome,2,11,13,105
03/24/2020,Cattaraugus,0,0,3,76
03/24/2020,Cayuga,0,2,5,94
03/24/2020,Chautauqua,1,1,3,32
03/24/2020,Chemung,0,1,5,61
03/24/2020,Chenango,0,3,6,24
03/24/2020,Clinton,2,10,14,100
03/24/2020,Columbia,1,12,15,255
03/24/2020,Cortland,0,2,3,133
03/24/2020,Delaware,2,5,5,55
03/24/2020,Dutchess,29,153,146,1080
03/24/2020,Erie,15,122,114,872
03/24/2020,Essex,1,4,6,50
03/24/2020,Franklin,1,1,4,47
03/24/2020,Fulton,0,1,4,80
03/24/2020,Genesee,1,2,7,53
03/24/2020,Greene,0,4,3,159
03/24/2020,Hamilton,0,2,1,14
03/24/2020,Herkimer,1,5,5,33
03/24/2020,Jefferson,0,2,13,81
03/24/2020,Kings,779,4946,1474,11569
03/24/2020,Lewis,0,0,0,20
03/24/2020,Livingston,0,3,9,52
03/24/2020,Madison,2,7,15,72
03/24/2020,Monroe,22,118,172,1709
03/24/2020,Montgomery,1,4,5,105
03/24/2020,Nassau,416,3285,896,9383
03/24/2020,New York,442,3520,1065,10604
03/24/2020,Niagara,1,12,16,104
03/24/2020,Oneida,1,9,48,232
03/24/2020,Onondaga,5,65,124,1368
03/24/2020,Ontario,2,9,19,128
03/24/2020,Orange,140,638,298,2360
03/24/2020,Orleans,0,2,7,52
03/24/2020,Oswego,0,2,13,117
03/24/2020,Otsego,1,2,5,76
03/24/2020,Putnam,16,83,51,439
03/24/2020,Queens,1010,5475,1736,11559
03/24/2020,Rensselaer,1,31,26,1001
03/24/2020,Richmond,110,1025,223,2711
03/24/2020,Rockland,297,968,592,2874
03/24/2020,Saratoga,4,64,69,1347
03/24/2020,Schenectady,9,55,53,952
03/24/2020,Schoharie,1,2,3,58
03/24/2020,Schuyler,0,0,0,32
03/24/2020,Seneca,0,0,0,31
03/24/2020,St. Lawrence,0,1,10,78
03/24/2020,Steuben,3,8,13,77
03/24/2020,Suffolk,380,2260,854,7863
03/24/2020,Sullivan,9,39,23,365
03/24/2020,Tioga,0,1,1,28
03/24/2020,Tompkins,0,16,2,468
03/24/2020,Ulster,18,65,81,657
03/24/2020,Warren,0,2,52,286
03/24/2020,Washington,1,4,25,152
03/24/2020,Wayne,1,7,15,123
03/24/2020,Westchester,800,4691,2371,20337
03/24/2020,Wyoming,0,4,7,44
03/24/2020,Yates,0,0,3,22
03/23/2020,Albany,19,146,144,2886
03/23/2020,Allegany,0,2,2,78
03/23/2020,Bronx,455,2279,970,6445
03/23/2020,Broome,2,9,18,92
03/23/2020,Cattaraugus,0,0,12,73
03/23/2020,Cayuga,0,2,10,89
03/23/2020,Chautauqua,0,0,4,29
03/23/2020,Chemung,1,1,17,56
03/23/2020,Chenango,0,3,3,18
03/23/2020,Clinton,2,8,17,86
03/23/2020,Columbia,1,11,10,240
03/23/2020,Cortland,0,2,30,130
03/23/2020,Delaware,0,3,5,50
03/23/2020,Dutchess,24,124,111,934
03/23/2020,Erie,20,107,100,758
03/23/2020,Essex,0,3,11,44
03/23/2020,Franklin,0,0,3,43
03/23/2020,Fulton,0,1,11,76
03/23/2020,Genesee,0,1,8,46
03/23/2020,Greene,0,4,8,156
03/23/2020,Hamilton,0,2,2,13
03/23/2020,Herkimer,0,4,3,28
03/23/2020,Jefferson,0,2,1,68
03/23/2020,Kings,700,4167,1422,10095
03/23/2020,Lewis,0,0,5,20
03/23/2020,Livingston,0,3,1,43
03/23/2020,Madison,1,5,10,57
03/23/2020,Monroe,20,96,219,1537
03/23/2020,Montgomery,0,3,5,100
03/23/2020,Nassau,427,2869,993,8487
03/23/2020,New York,405,3078,990,9539
03/23/2020,Niagara,1,11,15,88
03/23/2020,Oneida,1,8,24,184
03/23/2020,Onondaga,8,60,129,1244
03/23/2020,Ontario,1,7,13,109
03/23/2020,Orange,109,498,340,2062
03/23/2020,Orleans,2,2,9,45
03/23/2020,Oswego,1,2,28,104
03/23/2020,Otsego,0,1,11,71
03/23/2020,Putnam,22,67,70,388
03/23/2020,Queens,839,4465,1518,9823
03/23/2020,Rensselaer,1,30,47,975
03/23/2020,Richmond,200,915,487,2488
03/23/2020,Rockland,79,671,315,2282
03/23/2020,Saratoga,7,60,76,1278
03/23/2020,Schenectady,2,46,50,899
03/23/2020,Schoharie,0,1,1,55
03/23/2020,Schuyler,0,0,8,32
03/23/2020,Seneca,0,0,11,31
03/23/2020,St. Lawrence,0,1,6,68
03/23/2020,Steuben,1,5,2,64
03/23/2020,Suffolk,422,1880,1047,7009
03/23/2020,Sullivan,7,30,44,342
03/23/2020,Tioga,0,1,3,27
03/23/2020,Tompkins,1,16,111,466
03/23/2020,Ulster,12,47,117,576
03/23/2020,Warren,0,2,8,234
03/23/2020,Washington,0,3,7,127
03/23/2020,Wayne,0,6,17,108
03/23/2020,Westchester,997,3891,3282,17966
03/23/2020,Wyoming,0,4,8,37
03/23/2020,Yates,0,0,3,19
03/22/2020,Albany,4,127,197,2742
03/22/2020,Allegany,0,2,39,76
03/22/2020,Bronx,606,1824,1276,5475
03/22/2020,Broome,4,7,20,74
03/22/2020,Cattaraugus,0,0,14,61
03/22/2020,Cayuga,2,2,33,79
03/22/2020,Chautauqua,0,0,12,25
03/22/2020,Chemung,0,0,17,39
03/22/2020,Chenango,0,3,2,15
03/22/2020,Clinton,2,6,12,69
03/22/2020,Columbia,5,10,48,230
03/22/2020,Cortland,1,2,55,100
03/22/2020,Delaware,0,3,10,45
03/22/2020,Dutchess,18,100,135,823
03/22/2020,Erie,33,87,247,658
03/22/2020,Essex,0,3,2,33
03/22/2020,Franklin,0,0,8,40
03/22/2020,Fulton,0,1,11,65
03/22/2020,Genesee,0,1,2,38
03/22/2020,Greene,2,4,32,148
03/22/2020,Hamilton,0,2,0,11
03/22/2020,Herkimer,0,4,6,25
03/22/2020,Jefferson,1,2,20,67
03/22/2020,Kings,702,3467,1506,8673
03/22/2020,Lewis,0,0,4,15
03/22/2020,Livingston,1,3,3,42
03/22/2020,Madison,3,4,14,47
03/22/2020,Monroe,19,76,416,1318
03/22/2020,Montgomery,0,3,6,95
03/22/2020,Nassau,542,2442,1323,7494
03/22/2020,New York,607,2673,1367,8549
03/22/2020,Niagara,4,10,38,73
03/22/2020,Oneida,2,7,36,160
03/22/2020,Onondaga,23,52,538,1115
03/22/2020,Ontario,0,6,5,96
03/22/2020,Orange,142,389,472,1722
03/22/2020,Orleans,0,0,4,36
03/22/2020,Oswego,1,1,23,76
03/22/2020,Otsego,1,1,10,60
03/22/2020,Putnam,8,45,47,318
03/22/2020,Queens,1152,3626,2048,8305
03/22/2020,Rensselaer,3,29,78,928
03/22/2020,Richmond,193,715,417,2001
03/22/2020,Rockland,137,592,393,1967
03/22/2020,Saratoga,12,53,164,1202
03/22/2020,Schenectady,5,44,62,849
03/22/2020,Schoharie,0,1,3,54
03/22/2020,Schuyler,0,0,7,24
03/22/2020,Seneca,0,0,4,20
03/22/2020,St. Lawrence,0,1,9,62
03/22/2020,Steuben,1,4,10,62
03/22/2020,Suffolk,424,1458,1153,5962
03/22/2020,Sullivan,7,23,83,298
03/22/2020,Tioga,0,1,4,24
03/22/2020,Tompkins,2,15,115,355
03/22/2020,Ulster,9,35,54,459
03/22/2020,Warren,1,2,81,226
03/22/2020,Washington,2,3,52,120
03/22/2020,Wayne,3,6,14,91
03/22/2020,Westchester,1021,2894,4037,14684
03/22/2020,Wyoming,2,4,11,29
03/22/2020,Yates,0,0,3,16
03/21/2020,Albany,35,123,577,2545
03/21/2020,Allegany,0,2,10,37
03/21/2020,Bronx,367,1218,1044,4199
03/21/2020,Broome,1,3,5,54
03/21/2020,Cattaraugus,0,0,23,47
03/21/2020,Cayuga,0,0,25,46
03/21/2020,Chautauqua,0,0,4,13
03/21/2020,Chemung,0,0,2,22
03/21/2020,Chenango,1,3,4,13
03/21/2020,Clinton,0,4,2,57
03/21/2020,Columbia,3,5,52,182
03/21/2020,Cortland,1,1,17,45
03/21/2020,Delaware,2,3,10,35
03/21/2020,Dutchess,33,82,205,688
03/21/2020,Erie,16,54,111,411
03/21/2020,Essex,1,3,8,31
03/21/2020,Franklin,0,0,10,32
03/21/2020,Fulton,0,1,11,54
03/21/2020,Genesee,0,1,6,36
03/21/2020,Greene,0,2,23,116
03/21/2020,Hamilton,0,2,0,11
03/21/2020,Herkimer,1,4,10,19
03/21/2020,Jefferson,0,1,4,47
03/21/2020,Kings,893,2765,1941,7167
03/21/2020,Lewis,0,0,4,11
03/21/2020,Livingston,0,2,5,39
03/21/2020,Madison,1,1,9,33
03/21/2020,Monroe,15,57,246,902
03/21/2020,Montgomery,0,3,20,89
03/21/2020,Nassau,667,1900,1968,6171
03/21/2020,New York,522,2066,1370,7182
03/21/2020,Niagara,2,6,9,35
03/21/2020,Oneida,1,5,30,124
03/21/2020,Onondaga,12,29,157,577
03/21/2020,Ontario,2,6,25,91
03/21/2020,Orange,84,247,393,1250
03/21/2020,Orleans,0,0,7,32
03/21/2020,Oswego,0,0,19,53
03/21/2020,Otsego,0,0,11,50
03/21/2020,Putnam,15,37,75,271
03/21/2020,Queens,843,2474,1927,6257
03/21/2020,Rensselaer,6,26,173,850
03/21/2020,Richmond,207,522,645,1584
03/21/2020,Rockland,193,455,604,1574
03/21/2020,Saratoga,6,41,143,1038
03/21/2020,Schenectady,7,39,123,787
03/21/2020,Schoharie,0,1,6,51
03/21/2020,Schuyler,0,0,3,17
03/21/2020,Seneca,0,0,3,16
03/21/2020,St. Lawrence,1,1,20,53
03/21/2020,Steuben,1,3,17,52
03/21/2020,Suffolk,373,1034,1578,4809
03/21/2020,Sullivan,4,16,37,215
03/21/2020,Tioga,0,1,4,20
03/21/2020,Tompkins,2,13,76,240
03/21/2020,Ulster,8,26,145,405
03/21/2020,Warren,0,1,28,145
03/21/2020,Washington,0,1,18,68
03/21/2020,Wayne,0,3,9,77
03/21/2020,Westchester,486,1873,2011,10647
03/21/2020,Wyoming,0,2,4,18
03/21/2020,Yates,0,0,3,13
03/20/2020,Albany,27,88,499,1968
03/20/2020,Allegany,0,2,10,27
03/20/2020,Bronx,297,851,884,3155
03/20/2020,Broome,0,2,16,49
03/20/2020,Cattaraugus,0,0,10,24
03/20/2020,Cayuga,0,0,8,21
03/20/2020,Chautauqua,0,0,2,9
03/20/2020,Chemung,0,0,10,20
03/20/2020,Chenango,0,2,4,9
03/20/2020,Clinton,2,4,12,55
03/20/2020,Columbia,1,2,35,130
03/20/2020,Cortland,0,0,15,28
03/20/2020,Delaware,0,1,8,25
03/20/2020,Dutchess,13,49,205,483
03/20/2020,Erie,7,38,55,300
03/20/2020,Essex,1,2,5,23
03/20/2020,Franklin,0,0,5,22
03/20/2020,Fulton,0,1,13,43
03/20/2020,Genesee,0,1,6,30
03/20/2020,Greene,0,2,24,93
03/20/2020,Hamilton,0,2,1,11
03/20/2020,Herkimer,1,3,5,9
03/20/2020,Jefferson,0,1,18,43
03/20/2020,Kings,538,1872,1378,5226
03/20/2020,Lewis,0,0,1,7
03/20/2020,Livingston,1,2,13,34
03/20/2020,Madison,0,0,9,24
03/20/2020,Monroe,10,42,148,656
03/20/2020,Montgomery,1,3,27,69
03/20/2020,Nassau,479,1233,1706,4203
03/20/2020,New York,370,1544,1263,5812
03/20/2020,Niagara,1,4,6,26
03/20/2020,Oneida,2,4,59,94
03/20/2020,Onondaga,9,17,133,420
03/20/2020,Ontario,1,4,25,66
03/20/2020,Orange,79,163,377,857
03/20/2020,Orleans,0,0,5,25
03/20/2020,Oswego,0,0,11,34
03/20/2020,Otsego,0,0,20,39
03/20/2020,Putnam,15,22,79,196
03/20/2020,Queens,491,1631,1218,4330
03/20/2020,Rensselaer,12,20,166,677
03/20/2020,Richmond,109,315,334,939
03/20/2020,Rockland,161,262,569,970
03/20/2020,Saratoga,11,35,279,895
03/20/2020,Schenectady,11,32,157,664
03/20/2020,Schoharie,0,1,16,45
03/20/2020,Schuyler,0,0,9,14
03/20/2020,Seneca,0,0,6,13
03/20/2020,St. Lawrence,0,0,7,33
03/20/2020,Steuben,2,2,27,35
03/20/2020,Suffolk,290,661,1461,3231
03/20/2020,Sullivan,4,12,42,178
03/20/2020,Tioga,0,1,5,16
03/20/2020,Tompkins,4,11,96,164
03/20/2020,Ulster,6,18,70,260
03/20/2020,Warren,0,1,31,117
03/20/2020,Washington,0,1,10,50
03/20/2020,Wayne,2,3,13,68
03/20/2020,Westchester,296,1387,1459,8636
03/20/2020,Wyoming,0,2,0,14
03/20/2020,Yates,0,0,2,10
03/19/2020,Albany,18,61,450,1469
03/19/2020,Allegany,0,2,2,17
03/19/2020,Bronx,191,554,605,2271
03/19/2020,Broome,0,2,3,33
03/19/2020,Cattaraugus,0,0,2,14
03/19/2020,Cayuga,0,0,3,13
03/19/2020,Chautauqua,0,0,1,7
03/19/2020,Chemung,0,0,6,10
03/19/2020,Chenango,0,2,0,5
03/19/2020,Clinton,0,2,9,43
03/19/2020,Columbia,1,1,24,95
03/19/2020,Cortland,0,0,7,13
03/19/2020,Delaware,0,1,4,17
03/19/2020,Dutchess,5,36,59,278
03/19/2020,Erie,3,31,43,245
03/19/2020,Essex,0,1,10,18
03/19/2020,Franklin,0,0,6,17
03/19/2020,Fulton,0,1,6,30
03/19/2020,Genesee,0,1,6,24
03/19/2020,Greene,0,2,21,69
03/19/2020,Hamilton,0,2,0,10
03/19/2020,Herkimer,1,2,1,4
03/19/2020,Jefferson,0,1,13,25
03/19/2020,Kings,674,1334,1553,3848
03/19/2020,Lewis,0,0,2,6
03/19/2020,Livingston,1,1,11,21
03/19/2020,Madison,0,0,4,15
03/19/2020,Monroe,5,32,193,508
03/19/2020,Montgomery,0,2,4,42
03/19/2020,Nassau,385,754,1036,2497
03/19/2020,New York,437,1174,1235,4549
03/19/2020,Niagara,2,3,4,20
03/19/2020,Oneida,0,2,7,35
03/19/2020,Onondaga,3,8,60,287
03/19/2020,Ontario,2,3,15,41
03/19/2020,Orange,33,84,180,480
03/19/2020,Orleans,0,0,6,20
03/19/2020,Oswego,0,0,3,23
03/19/2020,Otsego,0,0,10,19
03/19/2020,Putnam,2,7,35,117
03/19/2020,Queens,519,1140,1179,3112
03/19/2020,Rensselaer,2,8,156,511
03/19/2020,Richmond,116,206,272,605
03/19/2020,Rockland,48,101,192,401
03/19/2020,Saratoga,6,24,102,616
03/19/2020,Schenectady,3,21,115,507
03/19/2020,Schoharie,0,1,10,29
03/19/2020,Schuyler,0,0,0,5
03/19/2020,Seneca,0,0,2,7
03/19/2020,St. Lawrence,0,0,7,26
03/19/2020,Steuben,0,0,3,8
03/19/2020,Suffolk,193,371,766,1770
03/19/2020,Sullivan,5,8,79,136
03/19/2020,Tioga,0,1,0,11
03/19/2020,Tompkins,1,7,7,68
03/19/2020,Ulster,2,12,62,190
03/19/2020,Warren,0,1,17,86
03/19/2020,Washington,0,1,8,40
03/19/2020,Wayne,0,1,21,55
03/19/2020,Westchester,292,1091,1483,7177
03/19/2020,Wyoming,0,2,3,14
03/19/2020,Yates,0,0,1,8
03/18/2020,Albany,7,43,331,1019
03/18/2020,Allegany,0,2,3,15
03/18/2020,Bronx,154,363,597,1666
03/18/2020,Broome,1,2,9,30
03/18/2020,Cattaraugus,0,0,5,12
03/18/2020,Cayuga,0,0,2,10
03/18/2020,Chautauqua,0,0,3,6
03/18/2020,Chemung,0,0,2,4
03/18/2020,Chenango,1,2,1,5
03/18/2020,Clinton,1,2,21,34
03/18/2020,Columbia,0,0,32,71
03/18/2020,Cortland,0,0,1,6
03/18/2020,Delaware,0,1,1,13
03/18/2020,Dutchess,11,31,107,219
03/18/2020,Erie,21,28,130,202
03/18/2020,Essex,0,1,1,8
03/18/2020,Franklin,0,0,5,11
03/18/2020,Fulton,1,1,12,24
03/18/2020,Genesee,1,1,9,18
03/18/2020,Greene,0,2,16,48
03/18/2020,Hamilton,1,2,8,10
03/18/2020,Herkimer,0,1,1,3
03/18/2020,Jefferson,1,1,7,12
03/18/2020,Kings,273,660,795,2295
03/18/2020,Lewis,0,0,0,4
03/18/2020,Livingston,0,0,5,10
03/18/2020,Madison,0,0,7,11
03/18/2020,Monroe,13,27,153,315
03/18/2020,Montgomery,0,2,14,38
03/18/2020,Nassau,186,369,632,1461
03/18/2020,New York,335,737,1074,3314
03/18/2020,Niagara,1,1,10,16
03/18/2020,Oneida,2,2,14,28
03/18/2020,Onondaga,3,5,98,227
03/18/2020,Ontario,0,1,8,26
03/18/2020,Orange,19,51,94,300
03/18/2020,Orleans,0,0,3,14
03/18/2020,Oswego,0,0,8,20
03/18/2020,Otsego,0,0,2,9
03/18/2020,Putnam,3,5,32,82
03/18/2020,Queens,336,621,768,1933
03/18/2020,Rensselaer,2,6,136,355
03/18/2020,Richmond,33,90,110,333
03/18/2020,Rockland,23,53,58,209
03/18/2020,Saratoga,4,18,156,514
03/18/2020,Schenectady,4,18,131,392
03/18/2020,Schoharie,1,1,8,19
03/18/2020,Schuyler,0,0,1,5
03/18/2020,Seneca,0,0,2,5
03/18/2020,St. Lawrence,0,0,3,19
03/18/2020,Steuben,0,0,4,5
03/18/2020,Suffolk,62,178,361,1004
03/18/2020,Sullivan,2,3,23,57
03/18/2020,Tioga,0,1,0,11
03/18/2020,Tompkins,3,6,18,61
03/18/2020,Ulster,1,10,41,128
03/18/2020,Warren,0,1,8,69
03/18/2020,Washington,0,1,5,32
03/18/2020,Wayne,1,1,15,34
03/18/2020,Westchester,261,799,1588,5694
03/18/2020,Wyoming,1,2,6,11
03/18/2020,Yates,0,0,3,7
03/17/2020,Albany,13,36,267,688
03/17/2020,Allegany,0,2,0,12
03/17/2020,Bronx,123,209,433,1069
03/17/2020,Broome,0,1,6,21
03/17/2020,Cattaraugus,0,0,0,7
03/17/2020,Cayuga,0,0,2,8
03/17/2020,Chautauqua,0,0,0,3
03/17/2020,Chemung,0,0,0,2
03/17/2020,Chenango,1,1,1,4
03/17/2020,Clinton,0,1,3,13
03/17/2020,Columbia,0,0,14,39
03/17/2020,Cortland,0,0,1,5
03/17/2020,Delaware,0,1,0,12
03/17/2020,Dutchess,4,20,23,112
03/17/2020,Erie,0,7,2,72
03/17/2020,Essex,1,1,2,7
03/17/2020,Franklin,0,0,1,6
03/17/2020,Fulton,0,0,0,12
03/17/2020,Genesee,0,0,5,9
03/17/2020,Greene,0,2,8,32
03/17/2020,Hamilton,1,1,2,2
03/17/2020,Herkimer,0,1,0,2
03/17/2020,Jefferson,0,0,2,5
03/17/2020,Kings,264,387,741,1500
03/17/2020,Lewis,0,0,1,4
03/17/2020,Livingston,0,0,4,5
03/17/2020,Madison,0,0,0,4
03/17/2020,Monroe,4,14,75,162
03/17/2020,Montgomery,1,2,14,24
03/17/2020,Nassau,52,183,218,829
03/17/2020,New York,161,402,598,2240
03/17/2020,Niagara,0,0,1,6
03/17/2020,Oneida,0,0,4,14
03/17/2020,Onondaga,0,2,15,129
03/17/2020,Ontario,0,1,3,18
03/17/2020,Orange,17,32,83,206
03/17/2020,Orleans,0,0,5,11
03/17/2020,Oswego,0,0,3,12
03/17/2020,Otsego,0,0,1,7
03/17/2020,Putnam,0,2,7,50
03/17/2020,Queens,123,285,371,1165
03/17/2020,Rensselaer,3,4,70,219
03/17/2020,Richmond,26,57,61,223
03/17/2020,Rockland,8,30,29,151
03/17/2020,Saratoga,5,14,76,358
03/17/2020,Schenectady,9,14,98,261
03/17/2020,Schoharie,0,0,8,11
03/17/2020,Schuyler,0,0,0,4
03/17/2020,Seneca,0,0,1,3
03/17/2020,St. Lawrence,0,0,7,16
03/17/2020,Steuben,0,0,0,1
03/17/2020,Suffolk,31,116,179,643
03/17/2020,Sullivan,0,1,14,34
03/17/2020,Tioga,0,1,5,11
03/17/2020,Tompkins,1,3,11,43
03/17/2020,Ulster,1,9,15,87
03/17/2020,Warren,1,1,16,61
03/17/2020,Washington,1,1,9,27
03/17/2020,Wayne,0,0,10,19
03/17/2020,Westchester,158,538,1026,4106
03/17/2020,Wyoming,0,1,2,5
03/17/2020,Yates,0,0,0,4
03/16/2020,Albany,11,23,140,421
03/16/2020,Allegany,0,2,1,12
03/16/2020,Bronx,29,86,151,636
03/16/2020,Broome,0,1,1,15
03/16/2020,Cattaraugus,0,0,0,7
03/16/2020,Cayuga,0,0,2,6
03/16/2020,Chautauqua,0,0,0,3
03/16/2020,Chemung,0,0,0,2
03/16/2020,Chenango,0,0,2,3
03/16/2020,Clinton,1,1,1,10
03/16/2020,Columbia,0,0,13,25
03/16/2020,Cortland,0,0,2,4
03/16/2020,Delaware,0,1,0,12
03/16/2020,Dutchess,6,16,32,89
03/16/2020,Erie,1,7,2,70
03/16/2020,Essex,0,0,0,5
03/16/2020,Franklin,0,0,3,5
03/16/2020,Fulton,0,0,1,12
03/16/2020,Genesee,0,0,3,4
03/16/2020,Greene,0,2,9,24
03/16/2020,Hamilton,0,0,0,0
03/16/2020,Herkimer,0,1,0,2
03/16/2020,Jefferson,0,0,0,3
03/16/2020,Kings,39,123,171,759
03/16/2020,Lewis,0,0,0,3
03/16/2020,Livingston,0,0,0,1
03/16/2020,Madison,0,0,1,4
03/16/2020,Monroe,1,10,29,87
03/16/2020,Montgomery,0,1,1,10
03/16/2020,Nassau,24,131,112,611
03/16/2020,New York,69,241,398,1642
03/16/2020,Niagara,0,0,1,5
03/16/2020,Oneida,0,0,1,10
03/16/2020,Onondaga,1,2,55,114
03/16/2020,Ontario,0,1,1,15
03/16/2020,Orange,4,15,36,123
03/16/2020,Orleans,0,0,5,6
03/16/2020,Oswego,0,0,4,9
03/16/2020,Otsego,0,0,0,6
03/16/2020,Putnam,0,2,5,43
03/16/2020,Queens,38,162,136,794
03/16/2020,Rensselaer,1,1,39,149
03/16/2020,Richmond,11,31,35,162
